name,position,rank,team,salary
Ivan Rabb,PF,398,Memphis Grizzlies,950000
Rade Zagorac,SF,399,Memphis Grizzlies,950000
Ike Anigbogu,C,400,Indiana Pacers,950000
Reggie Williams,SF,401,New Orleans Pelicans,895197
D.J. Stephens,SG,402,Memphis Grizzlies,874636
D.J. Kennedy,SG,403,Memphis Grizzlies,874636
Branden Dawson,SF,404,Orlando Magic,874636
Casper Ware,PG,405,Melbourne United,874636
J.J. O'Brien,SF,406,Milwaukee Bucks,874636
Grant Jerrett,PF,407,Portland Trail Blazers,874636
Christian Wood,PF,408,Charlotte Hornets,874636
Duje Dukan,PF,409,Sacramento Kings,874636
Cliff Alexander,PF,410,New Orleans Pelicans,874636
Gerald Green,SG,411,Houston Rockets,872854
Xavier Rathan-Mayes,SG,412,Memphis Grizzlies,815615
Dillon Brooks,SF,413,Memphis Grizzlies,815615
Alex Hamilton,SG,414,Golden State Warriors,815615
Sterling Brown,SG,415,Milwaukee Bucks,815615
Alfonzo McKinnie,SF,416,Toronto Raptors,815615
Dwayne Bacon,SF,417,Charlotte Hornets,815615
T.J. Williams,PG,418,Charlotte Hornets,815615
Terry Henderson,SG,419,Charlotte Hornets,815615
Luke Petrasek,SF,420,Charlotte Hornets,815615
Royce O'Neale,SF,421,Utah Jazz,815615
Daniel Theis,PF,422,Boston Celtics,815615
L.J. Peak,SG,423,Boston Celtics,815615
Tyler Dorsey,SG,424,Atlanta Hawks,815615
Jordan Mathews,SG,425,Atlanta Hawks,815615
Trey Burke,PG,426,New York Knicks,784160
Alex Poythress,SF,427,Indiana Pacers,778668
Dwight Buycks,PG,428,Detroit Pistons,748160
Tyler Cavanaugh,PF,429,Atlanta Hawks,679919
Emeka Okafor,C,430,New Orleans Pelicans,592030
DeAndre Liggins,SG,431,Milwaukee Bucks,588120
Scott Wood,SG,432,Golden State Warriors,543471
E.J. Singler,SF,433,Toronto Raptors,543471
Drew Crawford,SG,434,Toronto Raptors,543471
Brady Heslip,SG,435,Toronto Raptors,543471
Rasheed Sulaimon,G,436,Charlotte Hornets,543471
Andrew Andrews,G,437,Charlotte Hornets,543471
Ryan Richards,PF,438,San Antonio Spurs,543471
J.P. Tokoto,SG,439,New York Knicks,543471
Maurice Ndour,SF,440,New York Knicks,543471
Isaiah Cousins,PG,441,Sacramento Kings,543471
Jonathan Holmes,PF,442,Boston Celtics,543471
Richard Solomon,PF,443,Atlanta Hawks,543471
Marco Belinelli,SG,444,Philadelphia 76ers,490461
Brandan Wright,F,445,Memphis Grizzlies,490461
Joe Johnson,SG,446,Utah Jazz,473835
Toney Douglas,PG,447,Memphis Grizzlies,379159
C.J. Williams,SF,448,LA Clippers,375000
Derrick Rose,PG,449,Minnesota Timberwolves,290951
Lamar Patterson,SG,450,Atlanta Hawks,246956
Wade Baldwin IV,PG,451,Portland Trail Blazers,229892
Ramon Sessions,PG,452,Washington Wizards,224448
Troy Williams,SF,453,New York Knicks,222476
Larry Sanders,PF,454,Cleveland Cavaliers,207722
Georgios Papagiannis,C,455,Sacramento Kings,185397
Shaquille Harrison,PG,456,Phoenix Suns,175000
Travis Wear,SF,457,Los Angeles Lakers,148318
Antonius Cleveland,SG,458,Dallas Mavericks,133632
Ray McCallum,PG,459,Charlotte Hornets,121112
Manny Harris,PG,460,Dallas Mavericks,115344
Jaylen Morris,G,461,Atlanta Hawks,101376
Tim Quarterman,G,462,Houston Rockets,96406
Aaron Harrison,SG,463,Dallas Mavericks,91442
Brandon Jennings,PG,464,Milwaukee Bucks,83129
Marquis Teague,G,465,Memphis Grizzlies,74186
Rodney Purvis,SG,466,Orlando Magic,69120
Mike Tobey,C,467,Charlotte Hornets,67135
MarShon Brooks,SG,468,Memphis Grizzlies,60283
Jordan Crawford,SG,469,New Orleans Pelicans,58190
Justin Harper,PF,470,Philadelphia 76ers,57672
Alonzo Gee,SF,471,Denver Nuggets,57672
Jarell Eddie,SG,472,Chicago Bulls,57672
Nigel Hayes,SF,473,Toronto Raptors,55296
Damion Lee,SG,474,Atlanta Hawks,46080
David Stockton,PG,475,Utah Jazz,44495
Jonathan Gibson,PG,476,Boston Celtics,44495
Okaro White,PF,477,Miami Heat,37049
Pierre Jackson,PG,478,Dallas Mavericks,31969
Lorenzo Brown,PG,479,Toronto Raptors,16626
Quinn Cook,PG,480,Golden State Warriors,14832
Andre Ingram,G,481,Los Angeles Lakers,13824
Ty Lawson,PG,482,Washington Wizards,8313
Amile Jefferson,PF,483,Minnesota Timberwolves,4608
Aaron Jackson,G,484,Houston Rockets,4608
