name,rank,position,team,salary_2017
La'el Collins,615,OT,DAL,1000000
Terrance Williams,624,WR,DAL,1000000
Justin Durant,625,LB,DAL,1000000
Stephen Paea,647,DT,DAL,1000000
Jonathan Cooper,652,OG,DAL,1000000
Pat Sims,609,DT,CIN,1000000
Sherrick McManis,606,DB,CHI,1000000
Willie Young,614,DE,CHI,1000000
Tom Compton,623,T,CHI,1000000
Christian Jones,626,ILB,CHI,1000000
Mitch Unrein,654,DT,CHI,1000000
Matt Kalil,599,OT,CAR,1000000
Charles Johnson,600,DE,CAR,1000000
Mike Adams,610,DB,CAR,1000000
Mario Addison,618,DE,CAR,1000000
Julius Peppers,644,DE,CAR,1000000
Ryan Mallett,605,QB,BAL,1000000
Jeremy Maclin,620,WR,BAL,1000000
Danny Woodhead,633,RB,BAL,1000000
Ryan Schraeder,653,T,ATL,1000000
Frostee Rucker,604,DE,ARI,1000000
Karlos Dansby,607,LB,ARI,1000000
